_id,year,county_id,county_name,type,nj_data_source,killed_total,killed_per_100milvmt,killed_per_capita,si_total,si_per_100milvmt,si_per_capita,ksi_total,ksi_per_100milvmt,ksi_per_capita,ksi_total_5yravg
"155","2011","34021","Mercer","Motorized","Official","13","0.4","3.5","45","1.4","12.2","58","1.8","15.7","null"
"156","2011","34021","Mercer","Non-Motorized","Official","8","0.2","2.2","15","0.5","4.1","23","0.7","6.3","null"
"157","2011","42091","Montgomery","All","N/A","45","0.7","5.6","141","2.1","17.5","186","2.8","23.1","209.8"
"158","2011","42091","Montgomery","Motorized","N/A","33","0.5","4.1","119","1.8","14.8","152","2.3","18.9","null"
"159","2011","42091","Montgomery","Non-Motorized","N/A","12","0.2","1.5","22","0.3","2.7","34","0.5","4.2","null"
"160","2011","42101","Philadelphia","All","N/A","87","1.6","5.7","277","5.2","18","364","6.8","23.7","382.2"
"161","2011","42101","Philadelphia","Motorized","N/A","55","1","3.6","182","3.4","11.8","237","4.4","15.4","null"
"162","2011","42101","Philadelphia","Non-Motorized","N/A","32","0.6","2.1","95","1.8","6.2","127","2.4","8.3","null"
"163","2012","42017","Bucks","All","N/A","65","1.4","10.4","154","3.4","24.7","219","4.8","35.1","205.8"
"164","2012","42017","Bucks","Motorized","N/A","54","1.2","8.6","133","2.9","21.3","187","4.1","29.9","null"
"165","2012","42017","Bucks","Non-Motorized","N/A","11","0.2","1.8","21","0.5","3.4","32","0.7","5.2","null"
"166","2012","34005","Burlington","All","Official","51","1.1","11.3","108","2.4","24","159","3.5","35.3","156"
"167","2012","34005","Burlington","Motorized","Official","40","0.9","8.9","96","2.1","21.3","136","3","30.2","null"
"168","2012","34005","Burlington","Non-Motorized","Official","11","0.2","2.4","12","0.3","2.7","23","0.5","5.1","null"
"169","2012","34007","Camden","All","Official","25","0.6","4.9","123","3.1","24","148","3.7","28.9","159.2"
"170","2012","34007","Camden","Motorized","Official","17","0.4","3.3","84","2.1","16.4","101","2.5","19.7","null"
"171","2012","34007","Camden","Non-Motorized","Official","8","0.2","1.6","39","1","7.6","47","1.2","9.2","null"
"172","2012","42029","Chester","All","N/A","31","0.7","6.1","109","2.6","21.6","140","3.3","27.7","160.6"
"173","2012","42029","Chester","Motorized","N/A","29","0.7","5.7","93","2.2","18.4","122","2.9","24.1","null"
"174","2012","42029","Chester","Non-Motorized","N/A","2","0","0.4","16","0.4","3.2","18","0.4","3.6","null"
"175","2012","42045","Delaware","All","N/A","28","0.8","5","85","2.5","15.1","113","3.3","20.1","121.8"
"176","2012","42045","Delaware","Motorized","N/A","18","0.5","3.2","68","2","12.1","86","2.5","15.3","null"
"177","2012","42045","Delaware","Non-Motorized","N/A","10","0.3","1.8","17","0.5","3","27","0.8","4.8","null"
"178","2012","34015","Gloucester","All","Official","27","1","9.3","71","2.5","24.5","98","3.5","33.8","114.4"
"179","2012","34015","Gloucester","Motorized","Official","22","0.8","7.6","63","2.2","21.7","85","3","29.3","null"
"180","2012","34015","Gloucester","Non-Motorized","Official","5","0.2","1.7","8","0.3","2.8","13","0.5","4.5","null"
"181","2012","34021","Mercer","All","Official","23","0.7","6.3","47","1.4","12.7","70","2.1","19","88.8"
"182","2012","34021","Mercer","Motorized","Official","12","0.4","3.3","31","0.9","8.4","43","1.3","11.7","null"
"183","2012","34021","Mercer","Non-Motorized","Official","11","0.3","3","16","0.5","4.3","27","0.8","7.3","null"
